case,scenario,scenario_desc,emergency_procure_ratio,reserve_cap_ratio,demand_cut_ratio,physical_supply_ratio,supply_coverage_ratio,physical_shortage_10k_tons,effective_shortage_10k_tons,shortage_10k_tons,demand_cut_10k_tons,demand_cut_dependency_ratio,hhi_concentration,weighted_risk_score,active_supplier_count
baseline,S0,常态对照,0.08,0.1,0.005,0.999999996432089,0.999999996432089,0.0,0.0,0.0,0.0,0.0,0.117840798717649,62.33682369681506,14
baseline,S1,霍尔木兹海峡封锁,0.45,0.25,0.03,0.9824814587092613,1.0000000041271064,1070.0059479225965,0.0,0.0,1070.0062,0.01751854541784514,0.18638568959558552,57.40562469393005,9
baseline,S2,俄乌冲突升级,0.15,0.15,0.01,1.0000000001977358,1.0000000001977358,0.0,0.0,0.0,0.0,0.0,0.10320613109843108,62.32819104898721,14
baseline,S3,南海紧张,0.12,0.12,0.01,1.0000000098574384,1.0000000098574384,0.0,0.0,0.0,0.0,0.0,0.113260442446648,62.84040319888021,14
baseline,S4,综合中断（前三大来源国减半）,0.25,0.25,0.015,0.9999999997065644,0.9999999997065644,0.0,0.0,0.0,0.0,0.0,0.10923526545569139,60.127121748204715,14
emergency_procure_ratio_minus10,S0,常态对照,0.07200000000000001,0.1,0.005,1.000000000688907,1.000000000688907,0.0,0.0,0.0,0.0,0.0,0.11791994352763366,62.34339574434432,14
emergency_procure_ratio_minus10,S1,霍尔木兹海峡封锁,0.405,0.25,0.03,0.9743960328798128,1.0000000032429979,1563.8515019226033,0.0,0.0,1563.8517,0.025603970363185118,0.18821527732811863,57.41504247029491,9
emergency_procure_ratio_minus10,S2,俄乌冲突升级,0.135,0.15,0.01,1.0000000005251832,1.0000000005251832,0.0,0.0,0.0,0.0,0.0,0.10329584386877527,62.347184252376756,14
emergency_procure_ratio_minus10,S3,南海紧张,0.108,0.12,0.01,0.9999999990516693,0.9999999990516693,0.0,0.0,0.0,0.0,0.0,0.11351399662589541,62.8757121980037,14
emergency_procure_ratio_minus10,S4,综合中断（前三大来源国减半）,0.225,0.25,0.015,0.9999999995428407,0.9999999995428407,0.0,0.0,0.0,0.0,0.0,0.10914903267639658,60.170993847335765,14
reserve_cap_ratio_minus10,S0,常态对照,0.08,0.09000000000000001,0.005,0.9999999980693267,0.9999999980693267,0.0,0.0,0.0,0.0,0.0,0.1184326947441637,62.49019434567476,14
reserve_cap_ratio_minus10,S1,霍尔木兹海峡封锁,0.45,0.225,0.03,0.9574814604397899,0.9874814600003933,2596.967947922596,764.6134479225948,764.61373,1832.3545,0.029999999560603403,0.18638568959558552,57.40562469393005,9
reserve_cap_ratio_minus10,S2,俄乌冲突升级,0.15,0.135,0.01,1.0000000001977358,1.0000000001977358,0.0,0.0,0.0,0.0,0.0,0.10479077542564469,62.57036491104114,14
reserve_cap_ratio_minus10,S3,南海紧张,0.12,0.108,0.01,1.0000000098574384,1.0000000098574384,0.0,0.0,0.0,0.0,0.0,0.11401981115638221,63.021387250617956,14
reserve_cap_ratio_minus10,S4,综合中断（前三大来源国减半）,0.25,0.225,0.015,1.0000000019986972,1.0000000019986972,0.0,0.0,0.0,0.0,0.0,0.10424426338412679,60.648619489478975,14
demand_cut_ratio_minus10,S0,常态对照,0.08,0.1,0.0045000000000000005,0.999999996432089,0.999999996432089,0.0,0.0,0.0,0.0,0.0,0.117840798717649,62.33682369681506,14
demand_cut_ratio_minus10,S1,霍尔木兹海峡封锁,0.45,0.25,0.027,0.9824814587092613,1.0000000041271064,1070.0059479225965,0.0,0.0,1070.0062,0.01751854541784514,0.18638568959558552,57.40562469393005,9
demand_cut_ratio_minus10,S2,俄乌冲突升级,0.15,0.15,0.009000000000000001,1.0000000001977358,1.0000000001977358,0.0,0.0,0.0,0.0,0.0,0.10320613109843108,62.32819104898721,14
demand_cut_ratio_minus10,S3,南海紧张,0.12,0.12,0.009000000000000001,1.0000000098574384,1.0000000098574384,0.0,0.0,0.0,0.0,0.0,0.113260442446648,62.84040319888021,14
demand_cut_ratio_minus10,S4,综合中断（前三大来源国减半）,0.25,0.25,0.0135,0.9999999997065644,0.9999999997065644,0.0,0.0,0.0,0.0,0.0,0.10923526545569139,60.127121748204715,14
joint_minus10,S0,常态对照,0.07200000000000001,0.09000000000000001,0.0045000000000000005,1.0000000023261446,1.0000000023261446,0.0,0.0,0.0,0.0,0.0,0.11851010964736125,62.4966941721774,14
joint_minus10,S1,霍尔木兹海峡封锁,0.405,0.225,0.027,0.9493960346103414,0.9763960350335033,3090.813501922603,1441.6944019226066,1441.6947,1649.1191,0.027000000423161936,0.18821527732811863,57.41504247029491,9
joint_minus10,S2,俄乌冲突升级,0.135,0.135,0.009000000000000001,1.0000000005251835,1.0000000005251835,0.0,0.0,0.0,0.0,0.0,0.10489348069833948,62.58902875245336,14
joint_minus10,S3,南海紧张,0.108,0.108,0.009000000000000001,0.9999999990516693,0.9999999990516693,0.0,0.0,0.0,0.0,0.0,0.11429427386694883,63.0562212429835,14
joint_minus10,S4,综合中断（前三大来源国减半）,0.225,0.225,0.0135,1.0000000015075259,1.0000000015075259,0.0,0.0,0.0,0.0,0.0,0.10424740997747452,60.69107635309383,14
emergency_procure_ratio_plus10,S0,常态对照,0.08800000000000001,0.1,0.005,0.9999999923389945,0.9999999923389945,0.0,0.0,0.0,0.0,0.0,0.11776187972319163,62.330251644439386,14
emergency_procure_ratio_plus10,S1,霍尔木兹海峡封锁,0.49500000000000005,0.25,0.03,0.9905668830651956,1.0000000025553581,576.1604839225984,0.0,0.0,576.16064,0.009433119490162506,0.18466838561082372,57.39641253137444,9
emergency_procure_ratio_plus10,S2,俄乌冲突升级,0.165,0.15,0.01,0.9999999998702882,0.9999999998702882,0.0,0.0,0.0,0.0,0.0,0.10311730845341603,62.309197845583,14
emergency_procure_ratio_plus10,S3,南海紧张,0.132,0.12,0.01,1.0000000026535925,1.0000000026535925,0.0,0.0,0.0,0.0,0.0,0.11301083555983499,62.805094155965605,14
emergency_procure_ratio_plus10,S4,综合中断（前三大来源国减半）,0.275,0.25,0.015,0.9999999997065644,0.9999999997065644,0.0,0.0,0.0,0.0,0.0,0.10932710841729873,60.08324964555414,14
reserve_cap_ratio_plus10,S0,常态对照,0.08,0.11000000000000001,0.005,0.9999999980693266,0.9999999980693266,0.0,0.0,0.0,0.0,0.0,0.1174447411638369,62.18000654214176,14
reserve_cap_ratio_plus10,S1,霍尔木兹海峡封锁,0.45,0.275,0.03,1.0000000010163546,1.0000000010163546,0.0,0.0,0.0,0.0,0.0,0.187889095944863,57.26754826562487,8
reserve_cap_ratio_plus10,S2,俄乌冲突升级,0.15,0.165,0.01,1.0000000018349737,1.0000000018349737,0.0,0.0,0.0,0.0,0.0,0.10208437932695236,62.07731630236026,14
reserve_cap_ratio_plus10,S3,南海紧张,0.12,0.132,0.01,1.0000000082202007,1.0000000082202007,0.0,0.0,0.0,0.0,0.0,0.11279746091623234,62.654414954218765,14
reserve_cap_ratio_plus10,S4,综合中断（前三大来源国减半）,0.25,0.275,0.015,0.999999997086984,0.999999997086984,0.0,0.0,0.0,0.0,0.0,0.11225308397590773,59.73968012482789,14
demand_cut_ratio_plus10,S0,常态对照,0.08,0.1,0.0055000000000000005,0.999999996432089,0.999999996432089,0.0,0.0,0.0,0.0,0.0,0.117840798717649,62.33682369681506,14
demand_cut_ratio_plus10,S1,霍尔木兹海峡封锁,0.45,0.25,0.033,0.9824814587092613,1.0000000041271064,1070.0059479225965,0.0,0.0,1070.0062,0.01751854541784514,0.18638568959558552,57.40562469393005,9
demand_cut_ratio_plus10,S2,俄乌冲突升级,0.15,0.15,0.011000000000000001,1.0000000001977358,1.0000000001977358,0.0,0.0,0.0,0.0,0.0,0.10320613109843108,62.32819104898721,14
demand_cut_ratio_plus10,S3,南海紧张,0.12,0.12,0.011000000000000001,1.0000000098574384,1.0000000098574384,0.0,0.0,0.0,0.0,0.0,0.113260442446648,62.84040319888021,14
demand_cut_ratio_plus10,S4,综合中断（前三大来源国减半）,0.25,0.25,0.0165,0.9999999997065644,0.9999999997065644,0.0,0.0,0.0,0.0,0.0,0.10923526545569139,60.127121748204715,14
joint_plus10,S0,常态对照,0.08800000000000001,0.11000000000000001,0.0055000000000000005,0.9999999939762323,0.9999999939762323,0.0,0.0,0.0,0.0,0.0,0.11736403872985765,62.17336064576432,14
joint_plus10,S1,霍尔木兹海峡封锁,0.49500000000000005,0.275,0.033,1.0000000013438022,1.0000000013438022,0.0,0.0,0.0,0.0,0.0,0.1878480012219737,57.11097767325773,8
joint_plus10,S2,俄乌冲突升级,0.165,0.165,0.011000000000000001,1.000000001507526,1.000000001507526,0.0,0.0,0.0,0.0,0.0,0.10200958972018129,62.05798190357326,14
joint_plus10,S3,南海紧张,0.132,0.132,0.011000000000000001,1.0000000026535925,1.0000000026535925,0.0,0.0,0.0,0.0,0.0,0.11257014159776506,62.61861779204533,14
joint_plus10,S4,综合中断（前三大来源国减半）,0.275,0.275,0.0165,0.9999999975781554,0.9999999975781554,0.0,0.0,0.0,0.0,0.0,0.11213432051875855,59.705370949857624,14
